,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
4356,3868,273.0214304831012,273.02230308265274,,4994565.757257782,566224.9499109522,9.95115073520063,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4357,3869,273.01376585525264,273.0146384318561,,7420890.082766313,566240.4500090252,14.785348595251593,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4358,3872,272.52577412746484,272.526645242959,,2204682.443757332,567254.4497484893,4.392599554665821,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4359,3873,272.16072307528447,272.1615930977107,,3780718.189430847,568015.6999021011,7.532686207138342,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4360,3874,272.1243394270363,272.1252093405167,,2195853.232930185,568091.200058865,4.3750082740452525,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4361,3877,272.0614499269498,272.062319652115,,2144422.26191249,568222.9501904442,4.272537434751344,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4362,3878,272.0605414485978,272.0614111710426,,2151816.3396894704,568224.4498633932,4.287269362627078,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4363,3880,272.0423014589954,272.0431711268224,,4906259.098957117,568262.9499825145,9.775208939581095,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4364,3883,272.0317164194794,272.0325860556105,,2729788.8399325004,454627.5599904331,5.438819217058662,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4365,3884,272.0241469282438,272.02501654170885,,8166039.523323813,568300.4501888328,16.269981046523853,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4366,3885,272.0164905843738,272.0173601749126,,2284949.511420024,757755.5996345925,4.55252330543901,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4367,3886,272.0136059932084,272.0144755751095,,3838893.080536816,568322.4499565632,7.648593603003167,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4368,3887,272.00592243559686,272.00679199449024,,4831587.260335265,568338.9499589361,9.626433098413953,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4369,3888,271.9953471878357,271.9962167150624,,2467652.205549413,568360.6997681307,4.916539345545571,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4370,3896,271.0579465867428,271.0588133068339,,2187034.310560784,570326.1999816486,4.357437492102414,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4371,3897,271.0527193682391,271.05358607267584,,2595240.3399988688,570337.1997387955,5.170745380591682,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4372,3899,271.03447016436405,271.03533681414854,,5619908.698076303,570375.9499078918,11.197081246023528,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4373,3900,271.02690370800025,271.0277703351248,,5518827.321507432,456313.359954366,10.995687158199829,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4374,3902,271.01639329594366,271.0172598915918,,5811676.909613661,570413.7000634623,11.579159382937641,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4375,3904,271.0057065827819,271.0065731464256,,2513766.520351132,570436.1999088383,5.008417302498199,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4376,3905,270.9980864848484,270.9989530256714,,3103388.6968322764,570452.2000976531,6.183177920366685,-1,,,,,,,,unassigned,,,,,,,,,,,,,
