formula,intensity,m/z
C15H17N1O10,4593688,370.07799
C18H29N1O7,1612838,370.18716
C15H16O11,1330329,371.06192
C19H16O8,2478236,371.07721
C12H20O13,1604764,371.08308
C16H20O10,2329758,371.09835
C20H20O7,2060448,371.11366
C13H24O12,1229985,371.11955
C17H24O9,5154979,371.13476
C18H28O8,2831528,371.17114
C11H28N6O8,1313962,371.18977
C19H32O7,2099373,371.20758
C20H36O6,3860658,371.24392
C21H40O5,1975478,371.28034
C20H23N1O6,996393,372.14529
C18H31N1O7,4989233,372.20278
C18H14O9,4223394,373.0565
C19H18O8,3208615,373.09292
C16H22O10,2368938,373.11408
C20H22O7,5851564,373.12929
C17H26O9,11084207,373.1504
C21H26O6,1181105,373.16555
C10H26N6O9,3466673,373.16901
C18H30O8,3110324,373.18686
C19H34O7,1634232,373.22321
C20H38O6,3340733,373.25956
C21H42O5,1424834,373.29598
C17H9N7O4,1222953,374.06432
C17H29N1O8,1051705,374.18201
C18H33N1O7,3077694,374.21839
C17H12O10,2224813,375.0358
C18H16O9,8647345,375.07213
C14H20N2O10,2203318,375.10443
C19H20O8,3116726,375.10859
C20H24O7,27214524,375.14493
C17H28O9,2925246,375.16602
C21H28O6,2197696,375.18136
C10H28N6O9,1160385,375.18459
C18H32O8,2254531,375.20254
C19H36O7,1878728,375.23884
C20H40O6,34775756,375.2752
C18H35N1O7,2121040,376.23407
C17H14O10,8893376,377.05143
C18H18O9,14439365,377.08783
C19H22O8,4400074,377.12416
C20H26O7,3327951,377.1606
C17H30O9,956882,377.18168
C21H30O6,3602388,377.19695
C18H34O8,1280983,377.21814
C16H12O11,1553106,379.03061
C17H16O10,33875160,379.0671
C18H12N4O6,2778328,379.06842
C18H20O9,58696924,379.10345
C19H24O8,2857186,379.13983
C20H28O7,8639719,379.17626
C21H32O6,7884012,379.2126
C22H36O5,11695345,379.24903
C23H40O4,886518,379.28546
C15H11N1O11,4709726,380.02593
C16H15N1O10,1087203,380.06222
C28H15N1O1,1178986,380.10812
C19H10O9,3288556,381.02538
C16H14O11,1905135,381.04627
C13H18O13,4277746,381.06751
C17H18O10,12473844,381.08276
C18H22O9,10307065,381.11909
C19H26O8,3091966,381.15554
C20H30O7,19539460,381.19192
C21H34O6,5397001,381.22832
C22H38O5,14882318,381.26467
C15H13N1O11,2453117,382.04158
C16H17N1O10,994818,382.07802
C23H33N3O2,1433243,382.25018
C23H45N1O3,3508903,382.33269
C15H12O12,966411,383.02561
C16H16O11,1863952,383.06194
C20H16O8,1228562,383.07719
C13H20O13,3368723,383.08309
C17H20O10,4199189,383.09839
C21H20O7,855575,383.11366
C14H24O12,8013593,383.11954
C18H24O9,1862939,383.13478
C19H28O8,4347680,383.17114
C18H28N2O7,2230561,383.18239
C20H32O7,5283621,383.20754
C21H36O6,6102827,383.24398
C15H15N1O11,1708449,384.05728
C18H27N1O8,986033,384.16642
C19H14O9,2171444,385.05646
C16H18O11,1584183,385.07766
C20H18O8,2453561,385.09285
C17H22O10,2565180,385.11408
C18H26O9,2213954,385.15042
C22H26O6,2725956,385.16571
C19H30O8,1738823,385.18683
C20H34O7,2209868,385.22326
C21H38O6,4610130,385.25961
C22H42O5,990551,385.29591
C18H29N1O8,1545435,386.18197
C19H16O9,4180320,387.07214
C16H20O11,1341795,387.09329
C20H20O8,3471718,387.10859
C13H24O13,12527974,387.11445
C19H20N2O7,2130791,387.11976
C17H24O10,4577641,387.12975
C21H24O7,1708395,387.14507
C18H28O9,2013550,387.16606
C22H28O6,67758448,387.1813
C19H32O8,1500020,387.2025
C20H36O7,2156409,387.23882
C21H40O6,12208511,387.27522
C14H15N1O12,4700661,388.052
C18H31N1O8,3275275,388.19772
C18H14O10,1916557,389.05149
C19H18O9,6511251,389.08784
C20H22O8,7801496,389.12417
C17H26O10,18811548,389.14533
C21H26O7,2260638,389.16063
C10H26N6O10,1068702,389.16391
C18H30O9,1269409,389.18175
C22H30O6,5778084,389.197
C19H34O8,993703,389.21814
C21H42O6,5425842,389.29095
C18H33N1O8,5792577,390.2133
C17H12O11,2429888,391.03073
C18H16O10,7218118,391.06707
C19H20O9,4625356,391.10343
C20H24O8,20868050,391.13989
C17H28O10,2844629,391.16102
C21H28O7,3265495,391.17625
C10H28N6O10,7236568,391.17956
C18H32O9,1189850,391.19727
C22H32O6,2691037,391.21259
C20H40O7,1219558,391.27008
C16H7N7O6,4187231,392.03854
C18H35N1O8,2345085,392.22904
C19H39N1O7,17042562,392.26542
C17H14O11,5328128,393.04636
C10H14N6O11,2737410,393.06491
C18H18O10,22662406,393.08271
C19H22O9,4163851,393.1191
C20H26O8,2781457,393.15548
C21H30O7,8875287,393.19186
C22H34O6,4709661,393.22828
C23H38O5,4459811,393.26467
C13H17N1O13,874403,394.06275
C17H17N1O10,1129894,394.07795
