,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
4018,3454,286.09469170341833,286.0954103182162,,4116703.9600751298,2454.515572962287,540350.9499375107,3.842562851628811,-1,,,,,,,,unassigned,,,,,,,,,,,,
4019,3455,286.0926655744868,286.0933841858152,,4350556.442791618,2432.6050631733056,540354.4499954035,4.060842541293732,-1,,,,,,,,unassigned,,,,,,,,,,,,
4020,3456,286.076197794514,286.07691637764236,,4062439.098575971,2573.8475084127676,540385.9499362631,3.7919116163280235,-1,,,,,,,,unassigned,,,,,,,,,,,,
4021,3457,286.06903593731084,286.06975450817424,,4817221.800419039,3281.3613132751198,540399.4499601391,4.496431542774537,-1,,,,,,,,unassigned,,,,,,,,,,,,
4022,3458,286.0582294496324,286.0589480019884,,5723965.47512228,3380.8612171726572,432335.75988144096,5.3427929994532155,-1,,,,,,,,unassigned,,,,,,,,,,,,
4023,3460,286.0399516222628,286.0406701433133,,9272699.675782982,5442.10371693833,432363.3600550997,8.655208548885781,-1,,,,,,,,unassigned,,,,,,,,,,,,
4024,3461,286.02923711843226,286.02995562113017,,4240477.278133329,3042.9401582346686,432379.55982553744,3.9580938100377305,-1,,,,,,,,unassigned,,,,,,,,,,,,
4025,3462,286.0216595085377,286.0223779982554,,9040786.704534173,5371.142521885328,540488.9498525236,8.4387392140067,-1,,,,,,,,unassigned,,,,,,,,,,,,
4026,3463,286.0113646799472,286.0120831520294,,4099753.576304034,2514.349991651659,540508.4500238581,3.826741234230198,-1,,,,,,,,unassigned,,,,,,,,,,,,
4027,3465,285.16987899635814,285.1705960237212,,6801335.294110799,3826.6993160208003,542102.950054809,6.348418199628111,-1,,,,,,,,unassigned,,,,,,,,,,,,
4028,3467,285.12525665319095,285.12597360376594,,5902533.853339925,3319.9871561148916,542188.1998635704,5.509470084633323,-1,,,,,,,,unassigned,,,,,,,,,,,,
4029,3468,285.1050430678553,285.10575998364004,,3669389.0772358533,1984.3231404478236,433781.15997159074,3.4250357307941304,-1,,,,,,,,unassigned,,,,,,,,,,,,
4030,3470,285.0865400980495,285.08725698198486,,3670673.413830646,2257.146463974982,542261.4501029846,3.42623454036023,-1,,,,,,,,unassigned,,,,,,,,,,,,
4031,3472,285.06866213162397,285.06937898478293,,6117182.337812231,3367.673047348979,542295.4498928839,5.709824615974617,-1,,,,,,,,unassigned,,,,,,,,,,,,
4032,3473,285.0610205730887,285.0617374130921,,27085732.481427617,15522.617438826888,433848.1600083326,25.282029130992015,-1,,,,,,,,unassigned,,,,,,,,,,,,
4033,3474,285.05019558807084,285.05091240943716,,8267538.94128973,5184.716394312962,542330.9501003593,7.716983858517418,-1,,,,,,,,unassigned,,,,,,,,,,,,
4034,3476,285.03217135857994,285.0328881489122,,9174404.320728762,5298.74279081047,542364.9498911606,8.563458915324052,-1,,,,,,,,unassigned,,,,,,,,,,,,
4035,3477,285.02464910887824,285.0253658862579,,9049723.337405404,5348.312719017823,542379.1998576645,8.447080735238899,-1,,,,,,,,unassigned,,,,,,,,,,,,
4036,3478,285.01400847961634,285.01472523867284,,6702526.268304937,4183.873908857589,542399.4498978426,6.256189101871879,-1,,,,,,,,unassigned,,,,,,,,,,,,
4037,3480,284.16081647130414,284.16153175786167,,5597222.483933715,3250.282139913446,435222.5600898581,5.224490125511167,-1,,,,,,,,unassigned,,,,,,,,,,,,
4038,3485,284.0896498859621,284.09036504940013,,3793894.9117183317,3787.14234748748,272081.8499810745,3.5412504256163166,-1,,,,,,,,unassigned,,,,,,,,,,,,
4039,3486,284.0851113767898,284.08582653237465,,4692257.703363897,2829.1409913286107,435338.5600267092,4.379789102174396,-1,,,,,,,,unassigned,,,,,,,,,,,,
4040,3488,284.06061843948635,284.06133355268645,,5098696.522732274,3008.204201829839,544219.9498857288,4.759162193830055,-1,,,,,,,,unassigned,,,,,,,,,,,,
4041,3489,284.05321093896384,284.0539260393443,,4669542.873801456,3847.58778957032,310990.6856720249,4.358586907140648,-1,,,,,,,,unassigned,,,,,,,,,,,,
